文件名,主色HEX,用途/解锁条件
rank-bronze-1.png,#C8794B,段位徽章·青铜1级
rank-bronze-1-256.png,#C8794B,段位徽章·青铜1级（小图）
rank-bronze-2.png,#C8794B,段位徽章·青铜2级
rank-bronze-2-256.png,#C8794B,段位徽章·青铜2级（小图）
rank-bronze-3.png,#C8794B,段位徽章·青铜3级
rank-bronze-3-256.png,#C8794B,段位徽章·青铜3级（小图）
rank-bronze-4.png,#C8794B,段位徽章·青铜4级
rank-bronze-4-256.png,#C8794B,段位徽章·青铜4级（小图）
rank-bronze-5.png,#C8794B,段位徽章·青铜5级
rank-bronze-5-256.png,#C8794B,段位徽章·青铜5级（小图）
rank-bronze-6.png,#C8794B,段位徽章·青铜6级
rank-bronze-6-256.png,#C8794B,段位徽章·青铜6级（小图）
rank-bronze-7.png,#C8794B,段位徽章·青铜7级
rank-bronze-7-256.png,#C8794B,段位徽章·青铜7级（小图）
rank-bronze-8.png,#C8794B,段位徽章·青铜8级
rank-bronze-8-256.png,#C8794B,段位徽章·青铜8级（小图）
rank-bronze-9.png,#C8794B,段位徽章·青铜9级
rank-bronze-9-256.png,#C8794B,段位徽章·青铜9级（小图）
rank-silver-1.png,#C9D2DC,段位徽章·白银1级
rank-silver-1-256.png,#C9D2DC,段位徽章·白银1级（小图）
rank-silver-2.png,#C9D2DC,段位徽章·白银2级
rank-silver-2-256.png,#C9D2DC,段位徽章·白银2级（小图）
rank-silver-3.png,#C9D2DC,段位徽章·白银3级
rank-silver-3-256.png,#C9D2DC,段位徽章·白银3级（小图）
rank-silver-4.png,#C9D2DC,段位徽章·白银4级
rank-silver-4-256.png,#C9D2DC,段位徽章·白银4级（小图）
rank-silver-5.png,#C9D2DC,段位徽章·白银5级
rank-silver-5-256.png,#C9D2DC,段位徽章·白银5级（小图）
rank-silver-6.png,#C9D2DC,段位徽章·白银6级
rank-silver-6-256.png,#C9D2DC,段位徽章·白银6级（小图）
rank-silver-7.png,#C9D2DC,段位徽章·白银7级
rank-silver-7-256.png,#C9D2DC,段位徽章·白银7级（小图）
rank-silver-8.png,#C9D2DC,段位徽章·白银8级
rank-silver-8-256.png,#C9D2DC,段位徽章·白银8级（小图）
rank-silver-9.png,#C9D2DC,段位徽章·白银9级
rank-silver-9-256.png,#C9D2DC,段位徽章·白银9级（小图）
rank-gold-1.png,#F5C33B,段位徽章·黄金1级
rank-gold-1-256.png,#F5C33B,段位徽章·黄金1级（小图）
rank-gold-2.png,#F5C33B,段位徽章·黄金2级
rank-gold-2-256.png,#F5C33B,段位徽章·黄金2级（小图）
rank-gold-3.png,#F5C33B,段位徽章·黄金3级
rank-gold-3-256.png,#F5C33B,段位徽章·黄金3级（小图）
rank-gold-4.png,#F5C33B,段位徽章·黄金4级
rank-gold-4-256.png,#F5C33B,段位徽章·黄金4级（小图）
rank-gold-5.png,#F5C33B,段位徽章·黄金5级
rank-gold-5-256.png,#F5C33B,段位徽章·黄金5级（小图）
rank-gold-6.png,#F5C33B,段位徽章·黄金6级
rank-gold-6-256.png,#F5C33B,段位徽章·黄金6级（小图）
rank-gold-7.png,#F5C33B,段位徽章·黄金7级
rank-gold-7-256.png,#F5C33B,段位徽章·黄金7级（小图）
rank-gold-8.png,#F5C33B,段位徽章·黄金8级
rank-gold-8-256.png,#F5C33B,段位徽章·黄金8级（小图）
rank-gold-9.png,#F5C33B,段位徽章·黄金9级
rank-gold-9-256.png,#F5C33B,段位徽章·黄金9级（小图）
rank-platinum-1.png,#8FE3D2,段位徽章·铂金1级
rank-platinum-1-256.png,#8FE3D2,段位徽章·铂金1级（小图）
rank-platinum-2.png,#8FE3D2,段位徽章·铂金2级
rank-platinum-2-256.png,#8FE3D2,段位徽章·铂金2级（小图）
rank-platinum-3.png,#8FE3D2,段位徽章·铂金3级
rank-platinum-3-256.png,#8FE3D2,段位徽章·铂金3级（小图）
rank-platinum-4.png,#8FE3D2,段位徽章·铂金4级
rank-platinum-4-256.png,#8FE3D2,段位徽章·铂金4级（小图）
rank-platinum-5.png,#8FE3D2,段位徽章·铂金5级
rank-platinum-5-256.png,#8FE3D2,段位徽章·铂金5级（小图）
rank-platinum-6.png,#8FE3D2,段位徽章·铂金6级
rank-platinum-6-256.png,#8FE3D2,段位徽章·铂金6级（小图）
rank-platinum-7.png,#8FE3D2,段位徽章·铂金7级
rank-platinum-7-256.png,#8FE3D2,段位徽章·铂金7级（小图）
rank-platinum-8.png,#8FE3D2,段位徽章·铂金8级
rank-platinum-8-256.png,#8FE3D2,段位徽章·铂金8级（小图）
rank-platinum-9.png,#8FE3D2,段位徽章·铂金9级
rank-platinum-9-256.png,#8FE3D2,段位徽章·铂金9级（小图）
rank-diamond-1.png,#63B3FF,段位徽章·钻石1级
rank-diamond-1-256.png,#63B3FF,段位徽章·钻石1级（小图）
rank-diamond-2.png,#63B3FF,段位徽章·钻石2级
rank-diamond-2-256.png,#63B3FF,段位徽章·钻石2级（小图）
rank-diamond-3.png,#63B3FF,段位徽章·钻石3级
rank-diamond-3-256.png,#63B3FF,段位徽章·钻石3级（小图）
rank-diamond-4.png,#63B3FF,段位徽章·钻石4级
rank-diamond-4-256.png,#63B3FF,段位徽章·钻石4级（小图）
rank-diamond-5.png,#63B3FF,段位徽章·钻石5级
rank-diamond-5-256.png,#63B3FF,段位徽章·钻石5级（小图）
rank-diamond-6.png,#63B3FF,段位徽章·钻石6级
rank-diamond-6-256.png,#63B3FF,段位徽章·钻石6级（小图）
rank-diamond-7.png,#63B3FF,段位徽章·钻石7级
rank-diamond-7-256.png,#63B3FF,段位徽章·钻石7级（小图）
rank-diamond-8.png,#63B3FF,段位徽章·钻石8级
rank-diamond-8-256.png,#63B3FF,段位徽章·钻石8级（小图）
rank-diamond-9.png,#63B3FF,段位徽章·钻石9级
rank-diamond-9-256.png,#63B3FF,段位徽章·钻石9级（小图）
rank-star-1.png,#A77BFF,段位徽章·星耀1级
rank-star-1-256.png,#A77BFF,段位徽章·星耀1级（小图）
rank-star-2.png,#A77BFF,段位徽章·星耀2级
rank-star-2-256.png,#A77BFF,段位徽章·星耀2级（小图）
rank-star-3.png,#A77BFF,段位徽章·星耀3级
rank-star-3-256.png,#A77BFF,段位徽章·星耀3级（小图）
rank-star-4.png,#A77BFF,段位徽章·星耀4级
rank-star-4-256.png,#A77BFF,段位徽章·星耀4级（小图）
rank-star-5.png,#A77BFF,段位徽章·星耀5级
rank-star-5-256.png,#A77BFF,段位徽章·星耀5级（小图）
rank-star-6.png,#A77BFF,段位徽章·星耀6级
rank-star-6-256.png,#A77BFF,段位徽章·星耀6级（小图）
rank-star-7.png,#A77BFF,段位徽章·星耀7级
rank-star-7-256.png,#A77BFF,段位徽章·星耀7级（小图）
rank-star-8.png,#A77BFF,段位徽章·星耀8级
rank-star-8-256.png,#A77BFF,段位徽章·星耀8级（小图）
